JOGO 001: [1, 8, 11, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25]
JOGO 002: [2, 3, 4, 7, 9, 10, 11, 12, 13, 17, 21, 22, 25]
JOGO 003: [3, 4, 5, 7, 8, 10, 13, 14, 16, 19, 20, 23, 24]
JOGO 004: [3, 4, 8, 9, 10, 12, 13, 15, 16, 19, 21, 23, 25]
JOGO 005: [1, 4, 5, 8, 9, 12, 15, 19, 20, 21, 23, 24, 25]
JOGO 006: [3, 5, 6, 7, 9, 11, 12, 16, 17, 19, 20, 21, 23]
JOGO 007: [1, 5, 7, 8, 10, 14, 15, 19, 21, 22, 23, 24, 25]
JOGO 008: [1, 2, 4, 5, 7, 11, 13, 14, 16, 19, 23, 24, 25]
JOGO 009: [1, 2, 3, 8, 9, 11, 13, 16, 17, 18, 19, 20, 21]
JOGO 010: [3, 4, 6, 10, 11, 12, 14, 17, 19, 20, 21, 22, 23]
JOGO 011: [1, 2, 7, 10, 11, 12, 13, 16, 18, 19, 23, 24, 25]
JOGO 012: [1, 2, 7, 9, 11, 12, 13, 14, 15, 18, 20, 22, 23]
JOGO 013: [1, 2, 4, 5, 6, 8, 12, 14, 16, 17, 19, 20, 25]
JOGO 014: [1, 3, 4, 6, 7, 8, 9, 11, 14, 15, 20, 22, 23]
JOGO 015: [1, 4, 6, 13, 14, 16, 17, 18, 19, 21, 22, 23, 24]
JOGO 016: [1, 3, 4, 5, 6, 7, 9, 10, 11, 15, 18, 21, 22]
JOGO 017: [1, 3, 5, 6, 7, 10, 13, 16, 18, 19, 22, 23, 24]
JOGO 018: [1, 2, 3, 5, 7, 9, 11, 12, 13, 14, 18, 22, 24]
JOGO 019: [3, 4, 7, 8, 9, 10, 12, 15, 16, 17, 18, 22, 24]
JOGO 020: [2, 3, 4, 8, 9, 11, 14, 16, 17, 19, 20, 21, 23]
JOGO 021: [1, 2, 3, 4, 7, 8, 11, 12, 15, 17, 18, 20, 25]
JOGO 022: [1, 2, 4, 6, 7, 10, 11, 17, 20, 22, 23, 24, 25]
JOGO 023: [3, 4, 5, 6, 7, 8, 9, 10, 14, 15, 20, 22, 23]
JOGO 024: [1, 2, 3, 5, 6, 8, 11, 14, 17, 18, 19, 20, 21]
JOGO 025: [2, 5, 6, 7, 9, 10, 15, 17, 19, 20, 21, 24, 25]
JOGO 026: [1, 3, 4, 5, 6, 7, 10, 12, 14, 15, 16, 21, 22]
JOGO 027: [1, 5, 6, 10, 15, 16, 18, 19, 20, 21, 23, 24, 25]
JOGO 028: [1, 4, 6, 9, 10, 11, 15, 16, 19, 20, 22, 24, 25]
JOGO 029: [3, 4, 7, 9, 10, 11, 16, 19, 20, 21, 22, 24, 25]
JOGO 030: [1, 2, 5, 7, 10, 12, 13, 16, 20, 21, 23, 24, 25]
JOGO 031: [3, 5, 6, 7, 8, 9, 10, 13, 14, 15, 22, 23, 24]
JOGO 032: [1, 5, 6, 8, 9, 12, 13, 15, 16, 21, 22, 24, 25]
JOGO 033: [2, 3, 9, 10, 11, 14, 16, 19, 21, 22, 23, 24, 25]
JOGO 034: [3, 6, 7, 9, 10, 12, 13, 15, 16, 17, 20, 23, 25]
JOGO 035: [1, 2, 4, 5, 6, 8, 10, 14, 15, 16, 23, 24, 25]
JOGO 036: [4, 5, 7, 9, 10, 11, 12, 13, 15, 19, 21, 22, 23]
